Latitude,Longitude,KY_CD
40.688082,-73.9175979,341
40.7474427,-73.82609344,106
40.8500544,-73.91351518,344
40.73107252,-74.00141223,341
40.86156732,-73.90851844,344
40.8270034,-73.94292158,341
40.70213857,-73.80444232,347
40.79029534,-73.9426822,578
40.81415217,-73.91920117,235
40.76637628,-73.95859421,112
40.75889507,-73.98483735,341
40.81494357,-73.94386399,578
40.69310911,-73.95488217,341
40.83817962,-73.93715136,341
40.79115187,-73.88437192,359
40.83610977,-73.85466034,344
40.67344952,-73.88543397,344
40.7899474,-73.97535416,341
40.68831138,-73.98939312,341
40.83443367,-73.87925553,235
40.68840684,-73.93164219,112
40.69781097,-73.7864233,351
40.75564868,-73.99095252,344
40.62688839,-73.91563083,341
40.68861843,-73.86626811,105
40.76435011,-73.87447306,344
40.64238339,-73.99523062,344
40.76856171,-73.8322514,341
40.84001841,-73.873434,106
40.63110705,-73.93688882,107
40.86846738,-73.82158285,341
40.80011207,-73.96798939,578
40.82524118,-73.94269184,235
40.75454618,-73.97742462,109
40.72569796,-73.85099744,106
40.70676168,-73.73256265,578
40.58262026,-73.9862958,341
40.75864753,-73.96870958,341
40.74861699,-74.0004201,106
40.85688601,-73.90320004,361
40.77641236,-73.94825085,341
40.73762583,-73.89503408,578
40.64638132,-73.9043811,351
40.83355862,-73.9134246,341
40.67102918,-73.95965195,341
40.71784327,-73.95772611,105
40.7010359,-73.94811821,341
40.8399082,-73.93608359,233
40.66880609,-73.93112157,121
40.86175377,-73.91180081,235
40.63125716,-73.9459964,341
40.76096262,-73.99265199,235
40.71940455,-74.00188456,358
40.55393525,-74.14412417,341
40.6797504,-73.98903395,107
40.66248621,-73.92451758,113
40.59853759,-73.7485596,578
40.59202235,-73.78411878,347
40.72036554,-73.9504156,351
40.67377214,-73.92360715,365
40.79115187,-73.88437192,117
40.82061349,-73.86873066,126
40.73822023,-73.80707891,578
40.6517009,-73.86844675,341
40.68545991,-73.99440906,578
40.6844699,-73.93978771,107
40.80024433,-73.95339009,235
40.80438405,-73.93742167,343
40.74342378,-73.85988599,117
40.71588655,-73.97867502,341
40.85447681,-73.8339072,109
40.84306523,-73.84853712,109
40.8368192,-73.91695834,352
40.6892103,-73.7828053,110
40.75626621,-73.99050125,344
40.66072441,-73.92938902,105
40.64395994,-73.97966372,109
40.69684705,-73.93650924,105
40.76161788,-73.97075133,107
40.64962365,-73.96263077,107
40.68122336,-73.88065783,351
40.54490931,-74.16137913,361
40.84831125,-73.91689339,351
40.62306097,-74.02113251,351
40.67551834,-73.88469497,105
40.852842,-73.88417431,578
40.67755752,-73.9913705,578
40.64472613,-74.07748316,361
40.83135262,-73.86088608,105
40.87324459,-73.84135961,235
40.68270938,-73.96315666,109
40.86370045,-73.90572447,235
40.85662618,-73.86812458,113
40.77598692,-73.96237572,105
40.66039042,-73.73337211,578
40.67647249,-73.78759843,105
40.67332045,-73.86279831,361
40.79189277,-73.94848439,121
40.83875187,-73.91375756,121
40.863835,-73.82202189,109
40.68027406,-73.94724022,344
40.87473324,-73.90137333,126
40.71499605,-73.99004179,578
40.81790766,-73.93808817,344
40.75671666,-74.00418128,109
40.63721291,-74.02219269,347
40.66864637,-73.91778413,341
40.61641217,-73.99482906,105
40.79748185,-73.93889813,361
40.87754572,-73.82807468,578
40.84156031,-73.86096955,341
40.65272465,-73.93150216,578
40.74507574,-73.97257747,341
40.86487617,-73.90360418,344
40.85919216,-73.90067697,344
40.6748947,-73.92776254,105
40.82590816,-73.93742672,235
40.57718712,-73.96700188,341
40.85611259,-73.89151775,351
40.82830531,-73.95085912,235
40.68799245,-73.96127872,235
40.65678165,-73.87099926,109
40.73708228,-73.9829623,344
40.80627384,-73.95180011,351
40.7393173,-73.85961316,110
40.67640022,-73.95828595,344
40.76229871,-73.98610723,235
40.73691705,-73.9519008,361
40.749992,-73.99507134,351
40.84449766,-73.84623517,348
40.75737942,-73.83401937,578
40.87962006,-73.90618647,121
40.59763735,-73.78658888,341
40.85777051,-73.89460588,341
40.72777874,-74.00430213,109
40.81351157,-73.91768104,359
40.61480866,-73.9876543,351
40.86370045,-73.90572447,352
40.71470356,-73.85620204,351
40.7580496,-73.73103561,361
40.7063278,-74.01288131,341
40.80565823,-73.92061662,341
40.74752179,-73.99687603,341
40.72687405,-73.97990901,341
40.81721773,-73.95347214,235
40.68993802,-73.98147789,341
40.65993057,-73.9241276,578
40.7264612,-73.99426852,578
40.80608515,-73.9414549,341
40.81305566,-73.8880187,351
40.70957551,-73.79114682,110
40.7262659,-73.74090159,121
40.68864052,-73.86403605,344
40.63119534,-73.9199811,110
40.85086089,-73.92893055,578
40.82379355,-73.92615925,235
40.60295159,-73.74997626,104
40.68140004,-73.7879613,105
40.63804543,-73.95319712,341
40.8118527,-73.90225765,578
40.70926377,-73.94608109,235
40.78885058,-73.78572318,341
40.57965762,-73.83405784,121
40.63653863,-74.16748447,106
40.82911148,-73.90553138,235
40.85048789,-73.89360533,351
40.71377657,-73.93615403,341
40.65736567,-73.94622395,236
40.68490429,-73.75058482,361
40.66795334,-73.98897821,344
40.65615938,-73.93811573,344
40.72047064,-73.80920103,344
40.81198651,-73.94757654,105
40.80718319,-73.92725052,109
40.83061152,-73.90728181,344
40.6577396,-73.86859703,341
40.65139047,-73.9602008,344
40.86905853,-73.87963015,109
40.71553615,-73.73948955,578
40.75315858,-73.91162336,341
40.81772539,-73.92260735,361
40.56077551,-74.17374024,351
40.68481489,-73.8622266,578
40.69094214,-73.9454252,126
40.87832258,-73.87014997,675
40.74274128,-73.9788216,341
40.63125716,-73.9459964,341
40.68563843,-73.91660215,341
40.83797124,-73.915945,352
40.74308017,-73.95473646,233
40.72776187,-73.98938324,109
40.84090857,-73.88752367,344
40.71613782,-73.98945723,359
40.63898418,-74.17125231,578
40.7034066,-73.88065418,344
40.67705129,-73.92231633,578
40.86211447,-73.9250719,344
